Chris Gonzalez,6-3,310,23,G,San Jose State
Wes Saxton,6-4,235,25,TE,South Alabama
JP Flynn,6-5,320,24,OL,Montana State
Will Sutton,6-1,209,26,DL,Arizona State
Cedric Thornton,6-4,290,30,DL,Southern Arkansas
Mike Person,6-4,300,30,OL,Montana State
Coleman Shelton,6-4,299,23,OL,Washington
Jeff Wilson,6-0,194,22,RB,North Texas
Najee Toran,6-2,305,22,OL,UCLA
Alan Knott,6-4,290,23,OL,South Carolina
Jack Heneghan,6-4,230,22,QB,Dartmouth
Emmanuel Moseley,5-11,184,22,CB,Tennessee
Tarvarus McFadden,6-2,205,21,CB,Florida State
Niles Scott,6-3,280,22,DL,Frostburg State
Terrell Williams Jr. ,6-4,212,22,S,Houston
Ross Dwelley,6-5,240,23,TE,San Diego
Steven Dunbar Jr. ,6-3,202,22,WR,Houston
Richie James Jr. ,5-9,185,22,WR,Middle Tennessee State
Jullian Taylor,6-5,280,23,DT,Temple
Marcell Harris,6-0,208,24,S,Florida
D.J. Reed Jr. ,5-9,188,21,DB,Kansas State
Tarvarius Moore,6-2,200,22,DB,Southern Miss
Fred Warner,6-3,236,21,LB,BYU
Dante Pettis ,6-1,195,22,WR,Washington
Mike McGlinchey,6-8,315,23,T,Notre Dame
Korey Toomer,6-2,235,29,LB,Idaho
Jonathan Cooper,6-2,308,28,G,North Carolina
Jeff Locke,6-0,195,28,P,UCLA
Jeremiah Attaochu,6-3,252,25,DL,Georgia Tech
Weston Richburg,6-4,290,27,C,Colorado State
Jerick McKinnon,5-9,205,26,RB,Georgia Southern
Richard Sherman,6-3,195,30,CB,Stanfor
Malcolm Johnson,6-1,231,26,FB,Mississippi State
Elijah Lee,6-2,229,22,LB,Kansas State
Mark Nzeocha,6-3,240,28,LB,Wyoming
Bradley Pinion,6-5,240,24,P,Clemson
Tyvis Powell,6-2,211,24,DB,Ohio State
Aldrick Robinson,5-10,187,29,WR,Southern Methodis
Joe Staley,6-5,295,33,T,Central Michigan
Malcolm Smith,6-0,225,29,LB,USC
Andrew Lauderdale,6-6,291,24,OL,New Hampshire
Ahkello Witherspoon,6-2,195,23,CB,Colorado
Joe Williams,5-11,205,24,RB,Utah
K'Waun Williams,5-9,185,27,CB,Pittsburgh
Darrell Williams Jr.,6-5,310,25,OL,Western Kentucky
Cole Wick,6-6,257,24,TE,Incarnate Word (Tex.)
Dekoda Watson,6-2,245,30,LB,Florida State
Max McCaffrey,6-2,200,24,WR,Duke
Jimmie Ward,5-11,193,27,DB,Northern Illinois
Laken Tomlinson,6-3,312,26,OL,Duke
Solomon Thomas,6-2,280,22,DL,Stanfor
Trent Taylor,5-8,180,24,WR,Louisiana Tech
Jeremy McNichols,5-9,205,22,RB,Boise State
Pita Taumoepenu,6-1,245,24,LB,Utah
Greg Mabin,6-1,200,24,CB,Iowa
Jaquiski Tartt,6-1,215,26,S,Samfor
Erik Magnuson,6-4,305,24,OL,Michigan
Cassius Marsh,6-4,245,26,DL,UCLA
Chanceller James,6-2,208,23,S,Boise State
Kyle Nelson,6-2,240,31,LS/TE,New Mexico State
Pace Murphy,6-6,308,24,T,Northwestern State-Louisiana
Joshua Garnett,6-5,305,24,G,Stanfor
Earl Mitchell,6-3,310,30,NT,Arizona
Cole Hikutini,6-4,247,24,TE,Louisville
Eli Harold,6-3,257,24,LB,Virginia
Raheem Mostert,5-10,197,26,RB,Purdue
Robbie Gould,6-0,190,35,K,Penn State
Nick Mullens,6-1,210,23,QB,Southern Mississippi
Marquise Goodwin,5-9,180,27,WR,Texas
Garry Gilliam,6-5,305,27,OL,Penn State
George Kittle,6-4,250,24,TE,Iowa
Reuben Foster,6-1,228,24,LB,Alabama
Antone Exum Jr.,6-0,219,27,DB,Virginia Tech
Sheldon Day,6-1,294,24,DL,Notre Dame
Brock Coyle,6-1,245,27,LB,Montana
Adrian Colbert,6-2,205,24,DB,Miami (Fla.)
Garrett Celek,6-5,252,30,TE,Michigan State
Aaron Burbridge,6-1,208,24,WR,Michigan State
DeForest Buckner,6-7,300,24,DL,Oregon
Kendrick Bourne,6-1,203,23,WR,Eastern Washington
Matt Breida,5-10,190,23,RB,Georgia Southern
Victor Bolden Jr.,5-8,178,23,WR,Oregon State
Ronald Blair III,6-4,270,25,DL,Appalachian State
C.J. Beathard,6-2,215,24,QB,Iowa
Arik Armstead,6-7,292,24,DL,Oregon
D.J. Jones,6-0,321,23,DL,Mississippi
Pierre Garçon,6-0,211,32,WR,Mount Union
Jimmy Garoppolo,6-2,225,26,QB,Eastern Illinois
Kyle Juszczyk,6-1,240,27,FB,Harvar
